id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
74727_819079,"Vestido Plissado 2 cores - Tam M | Aquamar","tamanho m 
 
produto original.",http://brechofashioncarioca.com.br/wp-content/uploads/2020/03/74727.jpg,http://brechofashioncarioca.com.br/product/vestido-plissado-2-cores-tam-m-aquamar/,"Roupas, Vestidos","Brechó Fashion Carioca",59.9BRL,in stock,74727_819079,http://brechofashioncarioca.com.br/cart/?add-to-cart=819079,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,59.9BRL,new,published,,
76149_818996,"Vestido Midi (T Q/ Caia) Jeans/ Courino | ABrand","Vestido Midi (T Q/ Caia) Jeans/ Courino | ABrand",http://brechofashioncarioca.com.br/wp-content/uploads/2019/09/remow_bfc-Produtos-semfoto-1.jpg,http://brechofashioncarioca.com.br/product/vestido-midi-t-q-caia-jeans-courino-abrand/,"Roupas","Brechó Fashion Carioca",250BRL,in stock,76149_818996,http://brechofashioncarioca.com.br/cart/?add-to-cart=818996,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,250BRL,new,published,,
76147_818994,"Macacao T Q Caia Verde Estampada Floral | Ateen","Macacao T Q Caia Verde Estampada Floral | Ateen",http://brechofashioncarioca.com.br/wp-content/uploads/2019/09/remow_bfc-Produtos-semfoto-1.jpg,http://brechofashioncarioca.com.br/product/macacao-t-q-caia-verde-estampada-floral-ateen/,"Roupas","Brechó Fashion Carioca",180BRL,in stock,76147_818994,http://brechofashioncarioca.com.br/cart/?add-to-cart=818994,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,180BRL,new,published,,
76148_818995,"Calca Preta Couro | Guipire","Calca Preta Couro | Guipire",http://brechofashioncarioca.com.br/wp-content/uploads/2019/09/remow_bfc-Produtos-semfoto-1.jpg,http://brechofashioncarioca.com.br/product/calca-preta-couro-guipire/,"Roupas","Brechó Fashion Carioca",499.9BRL,in stock,76148_818995,http://brechofashioncarioca.com.br/cart/?add-to-cart=818995,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,499.9BRL,new,published,,
76145_818992,"Casaco (Sobreposição) Preto (Linha/Pêlos) | Cava Atelier","Casaco (Sobreposição) Preto (Linha/Pêlos) | Cava Atelier",http://brechofashioncarioca.com.br/wp-content/uploads/2019/09/remow_bfc-Produtos-semfoto-1.jpg,http://brechofashioncarioca.com.br/product/casaco-sobreposicao-preto-linha-pelos-cava-atelier/,"Roupas","Brechó Fashion Carioca",180BRL,in stock,76145_818992,http://brechofashioncarioca.com.br/cart/?add-to-cart=818992,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,180BRL,new,published,,
76146_818993,"Calça Skinny Jeans Com Lavagem | Animale","Calça Skinny Jeans Com Lavagem | Animale",http://brechofashioncarioca.com.br/wp-content/uploads/2019/09/remow_bfc-Produtos-semfoto-1.jpg,http://brechofashioncarioca.com.br/product/calca-skinny-jeans-com-lavagem-animale/,"Roupas","Brechó Fashion Carioca",120BRL,in stock,76146_818993,http://brechofashioncarioca.com.br/cart/?add-to-cart=818993,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,120BRL,new,published,,
76144_818991,"Bolsinha Transpassada Preta | Michael Kors","Bolsinha Transpassada Preta | Michael Kors",http://brechofashioncarioca.com.br/wp-content/uploads/2019/09/remow_bfc-Produtos-semfoto-1.jpg,http://brechofashioncarioca.com.br/product/bolsinha-transpassada-preta-michael-kors/,"Roupas","Brechó Fashion Carioca",250BRL,in stock,76144_818991,http://brechofashioncarioca.com.br/cart/?add-to-cart=818991,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,250BRL,new,published,,
76142_818989,"Sapatilha Alpargata Gelo/Preta Couro | Tory Burch","Sapatilha Alpargata Gelo/Preta Couro | Tory Burch",http://brechofashioncarioca.com.br/wp-content/uploads/2019/09/remow_bfc-Produtos-semfoto-1.jpg,http://brechofashioncarioca.com.br/product/sapatilha-alpargata-gelo-preta-couro-tory-burch/,"Roupas","Brechó Fashion Carioca",350BRL,in stock,76142_818989,http://brechofashioncarioca.com.br/cart/?add-to-cart=818989,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,350BRL,new,published,,
76143_818990,"Bolsinha Transpassada Dourada | Michael Kors","Bolsinha Transpassada Dourada | Michael Kors",http://brechofashioncarioca.com.br/wp-content/uploads/2019/09/remow_bfc-Produtos-semfoto-1.jpg,http://brechofashioncarioca.com.br/product/bolsinha-transpassada-dourada-michael-kors/,"Roupas","Brechó Fashion Carioca",299.9BRL,in stock,76143_818990,http://brechofashioncarioca.com.br/cart/?add-to-cart=818990,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,299.9BRL,new,published,,
76140_818987,"Sapato Preto Nobuck | Santa Lolla","Sapato Preto Nobuck | Santa Lolla",http://brechofashioncarioca.com.br/wp-content/uploads/2019/09/remow_bfc-Produtos-semfoto-1.jpg,http://brechofashioncarioca.com.br/product/sapato-preto-nobuck-santa-lolla/,"Roupas","Brechó Fashion Carioca",69.9BRL,in stock,76140_818987,http://brechofashioncarioca.com.br/cart/?add-to-cart=818987,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,69.9BRL,new,published,,
