REF;Em estoque?;Estoque
60218;0;0
61975;0;0
62167;0;0
62337;0;0
62537;0;0
62839;0;0
62841;0;0
63073;0;0
63074;0;0
63160;0;0
63247;0;0
63337;0;0
63351;0;0
63366;0;0
64731;0;0
65102;0;0
65179;0;0
65343;0;0
65408;0;0
65496;0;0
65506;0;0
65571;0;0
65572;0;0
65573;0;0
65789;0;0
65827;0;0
66058;0;0
66578;0;0
66589;0;0
66725;0;0
67000;0;0
67065;0;0
67278;0;0
67342;0;0
67553;0;0
67572;0;0
67734;0;0
67814;0;0
67836;0;0
67838;0;0
67861;0;0
68055;0;0
68109;0;0
68192;0;0
68368;0;0
68430;0;0
68435;0;0
68522;0;0
68539;0;0
68600;0;0
68689;0;0
68739;0;0
68809;0;0
68844;0;0
68852;0;0
68883;0;0
68885;0;0
68903;0;0
68975;0;0
68989;0;0
68997;0;0
69233;0;0
69298;0;0
69310;0;0
69432;0;0
69443;0;0
69447;0;0
69544;0;0
69548;0;0
69582;0;0
69636;0;0
69708;0;0
69761;0;0
69766;0;0
69781;0;0
69782;0;0
69943;0;0
69950;0;0
70042;0;0
70074;0;0
70075;0;0
70088;0;0
70193;0;0
70231;0;0
70253;0;0
70270;0;0
70272;0;0
70287;0;0
70288;0;0
70289;0;0
70404;0;0
70412;0;0
70451;0;0
70480;0;0
70529;0;0
70561;0;0
70586;0;0
70690;0;0
70720;0;0
70833;0;0
70886;0;0
71018;0;0
71047;0;0
71064;0;0
71122;0;0
71194;0;0
71248;0;0
71288;0;0
71335;0;0
71338;0;0
71521;0;0
71526;0;0
71527;0;0
71528;0;0
71538;0;0
71547;0;0
71560;0;0
71562;0;0
71621;0;0
71692;0;0
71694;0;0
71697;0;0
71765;0;0
71864;0;0
71868;0;0
71872;0;0
71899;0;0
71904;0;0
71914;0;0
71918;0;0
71940;0;0
71948;0;0
71982;0;0
72013;0;0
72027;0;0
72121;0;0
72122;0;0
72124;0;0
72136;0;0
72141;0;0
72144;0;0
72165;0;0
72167;0;0
72175;0;0
72191;0;0
72192;0;0
72199;0;0
72204;0;0
72238;0;0
72262;0;0
72297;0;0
72305;0;0
72309;0;0
72316;0;0
72317;0;0
72321;0;0
72370;0;0
72458;0;0
72480;0;0
72489;0;0
72535;0;0
72569;0;0
72570;0;0
72572;0;0
72579;0;0
72589;0;0
72590;0;0
72592;0;0
72594;0;0
72596;0;0
72603;0;0
72609;0;0
72617;0;0
72656;0;0
72685;0;0
72687;0;0
72688;0;0
72691;0;0
72708;0;0
72709;0;0
72721;0;0
72744;0;0
72747;0;0
72748;0;0
72750;0;0
72758;0;0
72759;0;0
72761;0;0
72776;0;0
72786;0;0
72791;0;0
72792;0;0
72795;0;0
72803;0;0
72807;0;0
72810;0;0
72814;0;0
72819;0;0
72822;0;0
72823;0;0
72828;0;0
72830;0;0
72840;0;0
72844;0;0
72850;0;0
72851;0;0
72863;0;0
72867;0;0
72893;0;0
72895;0;0
72898;0;0
72901;0;0
72912;0;0
72918;0;0
72929;0;0
72936;0;0
72941;0;0
72944;0;0
72951;0;0
72952;0;0
72957;0;0
72960;0;0
72971;0;0
72972;0;0
72978;0;0
72982;0;0
73000;0;0
73002;0;0
73005;0;0
73010;0;0
73024;0;0
73051;0;0
73060;0;0
73062;0;0
73064;0;0
73076;0;0
73080;0;0
73093;0;0
73098;0;0
73102;0;0
73112;0;0
73128;0;0
73141;0;0
73147;0;0
73164;0;0
73169;0;0
73186;0;0
73187;0;0
73198;0;0
73200;0;0
73203;0;0
73207;0;0
73212;0;0
73224;0;0
73225;0;0
73227;0;0
73232;0;0
73237;0;0
73239;0;0
73266;0;0
73276;0;0
73284;0;0
73286;0;0
73291;0;0
73304;0;0
73352;0;0
73359;0;0
73363;0;0
73375;0;0
73380;0;0
73381;0;0
73382;0;0
73384;0;0
73403;0;0
73405;0;0
73409;0;0
73411;0;0
73419;0;0
73425;0;0
73426;0;0
73427;0;0
73448;0;0
73449;0;0
73452;0;0
73453;0;0
73454;0;0
73459;0;0
73460;0;0
73461;0;0
73489;0;0
73502;0;0
73503;0;0
73504;0;0
73506;0;0
73510;0;0
73511;0;0
73513;0;0
73515;0;0
73516;0;0
73522;0;0
73525;0;0
73527;0;0
73531;0;0
73536;0;0
73537;0;0
73538;0;0
73567;0;0
73571;0;0
73574;0;0
73577;0;0
73578;0;0
73586;0;0
73594;0;0
73598;0;0
73601;0;0
73604;0;0
73611;0;0
73619;0;0
73621;0;0
73624;0;0
73626;0;0
73627;0;0
73634;0;0
73640;0;0
73641;0;0
73653;0;0
73665;0;0
73669;0;0
73674;0;0
73679;0;0
73681;0;0
73684;0;0
73699;0;0
73729;0;0
73732;0;0
73742;0;0
73744;0;0
73748;0;0
73752;0;0
73753;0;0
73757;0;0
73759;0;0
73760;0;0
73762;0;0
73764;0;0
73766;0;0
73767;0;0
73783;0;0
73787;0;0
73788;0;0
73789;0;0
73797;0;0
73798;0;0
73814;0;0
73816;0;0
73817;0;0
73818;0;0
73823;0;0
73826;0;0
73827;0;0
73833;0;0
73834;0;0
73845;0;0
73846;0;0
73850;0;0
73853;0;0
73854;0;0
73864;0;0
73867;0;0
73878;0;0
73880;0;0
73886;0;0
73887;0;0
73910;0;0
73913;0;0
73917;0;0
73922;0;0
73923;0;0
73926;0;0
73941;0;0
73944;0;0
73945;0;0
73946;0;0
73947;0;0
73950;0;0
73951;0;0
73952;0;0
73953;0;0
73954;0;0
73956;0;0
73957;0;0
73959;0;0
73960;0;0
